tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006050007250571189QTDAG_Tilsynsobjekt;976786157;NEPTUN PUB LTD;Storgata 31;;9980;BERLEVÅG;Z1605120853463670239KXRQB_TilsynAvtale;2016/105477;1;11052016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050007250571189QTDAG_Tilsynsobjekt;976786157;NEPTUN PUB LTD;Storgata 31;;9980;BERLEVÅG;Z1606090928325930240RKEXI_TilsynAvtale;2016/105477;1;09062016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007252081127CJKPI_Tilsynsobjekt;971744405;Nordpol Kro A/S;Kaigata 21;;9950;VARDØ;Z1602081152320320240JXDEF_TilsynAvtale;2016/28109;1;08022016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007421711190HRDGO_Tilsynsobjekt;994435558;Lysthuset;Austertana;Kvartsittveien 37;9845;TANA;Z1604221028549640239YKDOK_TilsynAvtale;2016/90230;1;22042016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050008268721126WKALR_Tilsynsobjekt;872804552;Labahågården;Bjørknes;;9930;Neiden;Z1607121218549790240FPDSR_TilsynAvtale;2016/151025;1;12072016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050041304541189HUUZC_Tilsynsobjekt;872348662;Sorrisniva AS;Sorrisniva 20;;9518;ALTA;Z1602171201220230239MJECK_TilsynAvtale;2016/36083;1;17022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050041306241127FZKRX_Tilsynsobjekt;976980867;Alta museum Kafé;Altaveien 19;;9518;ALTA;Z1602161509596860239HUWLV_TilsynAvtale;2016/35783;1;16022016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041306241127FZKRX_Tilsynsobjekt;976980867;Alta museum Kafé;Altaveien 19;;9518;ALTA;Z1603021346090560239QUDJH_TilsynAvtale;2016/35783;1;02032016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041314011190HAKCP_Tilsynsobjekt;971794208;Cafe Domus Bossekop Østlyngen;Altaveien 302;;9515;ALTA;Z1602161057104340240LHWMZ_TilsynAvtale;2016/35019;1;16022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041362671126DHTEZ_Tilsynsobjekt;995293587;Wing Wah House Alta AS;Markedsgata 4;;9510;ALTA;Z1602172135296410240FXSDM_TilsynAvtale;2016/34960;1;16022016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
